,Customer_id,Product_id,Date,Gender,Template,Countries,Purchase,Marital,Age
0,7303,85123A,1,F,1,United Kingdom,no,married,56
1,15302,71053,1,F,1,United Kingdom,no,married,57
2,36472,84406B,1,F,1,Netherlands,no,married,37
3,27039,84029G,11,F,2,United Kingdom,no,married,40
4,31937,84029E,1,F,2,Netherlands,no,married,56
5,7050,22752,9,F,1,Netherlands,no,married,45
6,11544,21730,2,F,2,Spain,no,married,59
7,5091,22633,12,F,2,Germany,no,married,41
8,36612,22632,1,F,1,Netherlands,no,single,24
9,31642,84879,2,F,2,France,no,single,25
10,1818,22745,8,F,2,France,no,married,41
11,5055,22748,6,F,1,Germany,no,single,25
12,20916,22749,9,M,2,Spain,no,single,29
13,3905,22310,3,F,2,United Kingdom,no,divorced,57
14,1067,84969,5,F,1,Spain,no,married,35
15,29528,22623,11,F,2,Netherlands,no,married,54
16,38133,22622,12,M,2,France,no,married,35
17,38826,21754,2,F,2,Netherlands,no,married,46
18,29230,21755,6,F,2,Netherlands,no,married,50
19,1395,21777,7,F,2,Germany,no,single,39
20,39953,48187,1,F,1,Germany,no,married,30
21,37936,22960,9,F,1,United Kingdom,no,married,55
22,10054,22913,7,F,2,France,no,single,55
23,32895,22912,4,F,2,Germany,no,single,41
24,26690,22914,2,F,1,Germany,no,married,37
25,11408,21756,11,F,2,United Kingdom,no,married,35
26,28621,22728,1,F,1,France,no,married,59
27,21591,22727,11,M,2,United Kingdom,no,married,39
28,20878,22726,5,F,1,Spain,no,single,54
29,35017,21724,8,F,2,United Kingdom,no,married,55
30,30254,21883,8,F,1,Germany,no,married,46
31,12922,10002,8,F,2,Germany,no,married,59
32,10577,21791,7,F,2,Germany,no,married,49
33,18708,21035,3,F,1,Italy,no,married,54
34,11173,22326,12,F,2,Italy,no,divorced,54
35,5533,22629,5,F,1,Spain,no,married,55
36,15954,22659,12,F,1,Spain,no,married,34
37,33768,22631,11,F,2,Germany,no,married,52
38,33110,22661,12,M,2,Germany,no,married,41
39,2979,21731,7,F,2,Italy,no,married,56
40,18330,22900,11,F,1,United Kingdom,no,unknown,58
41,8820,21913,1,F,2,Germany,no,married,32
42,32400,22540,9,F,1,Netherlands,no,single,38
43,2289,22544,11,F,2,Spain,no,married,57
44,15144,22492,9,F,2,Italy,no,married,44
45,39222,POST,12,F,1,United Kingdom,no,single,42
46,21326,22086,11,F,2,United Kingdom,no,married,57
47,14690,22632,12,F,1,Spain,no,married,40
48,6939,22633,8,F,2,United Kingdom,no,married,35
49,12169,85123A,5,F,1,France,no,married,45
50,1028,71053,1,F,1,Italy,no,married,54
51,32490,84406B,11,F,2,Spain,no,married,39
52,1046,20679,10,F,1,United Kingdom,no,married,60
53,31465,37370,12,F,1,Germany,no,single,53
54,16851,21871,5,F,2,Italy,no,married,55
55,22333,21071,1,M,1,Italy,no,married,55
56,38025,21068,4,F,2,Italy,no,married,50
57,5234,82483,10,F,1,United Kingdom,no,married,45
58,19998,82486,12,M,1,Germany,no,married,55
59,29831,82482,11,M,2,Germany,no,single,25
60,28604,82494L,10,M,1,Germany,no,married,47
61,12673,84029G,6,F,1,United Kingdom,no,married,51
62,33103,84029E,9,M,1,Italy,no,married,42
63,30527,22752,2,F,1,United Kingdom,no,married,42
64,37047,21730,12,F,2,France,no,married,48
65,5418,21258,7,F,2,Germany,no,married,37
66,2628,85123A,4,F,2,Belgium,no,single,44
67,32568,71053,11,M,2,Italy,no,married,33
68,15288,84406B,11,F,2,Spain,no,married,56
69,40269,20679,7,F,2,Netherlands,no,single,44
70,10373,37370,12,F,1,Netherlands,no,married,41
71,28025,21871,12,M,2,United Kingdom,no,divorced,44
72,16483,21071,11,M,1,Italy,no,married,47
73,3798,21068,3,F,2,Spain,no,married,57
74,18441,82483,2,F,2,Germany,no,married,37
75,2601,82486,9,F,1,Germany,yes,divorced,41
76,549,82482,4,F,1,United Kingdom,no,married,55
77,14003,82494L,11,F,2,Germany,no,married,33
78,23933,84029G,11,M,2,Germany,no,married,55
79,40594,84029E,3,M,1,Germany,no,married,42
80,6101,22752,11,F,2,Spain,no,married,50
81,7322,21730,11,F,1,Netherlands,no,married,51
82,24687,22114,7,F,1,Spain,no,married,38
83,7338,21733,11,M,2,France,yes,married,49
84,35629,22632,3,F,2,Italy,no,single,38
85,5139,22633,11,F,2,Germany,no,divorced,31
86,25095,22386,4,F,2,Spain,no,married,41
87,16406,85099C,3,F,2,United Kingdom,no,married,39
88,13635,21033,11,F,1,Italy,yes,married,49
89,34209,20723,4,F,2,Netherlands,no,married,34
90,1705,84997B,10,F,2,Netherlands,no,married,35
91,34577,84997C,9,F,2,Netherlands,no,married,57
92,38929,21094,10,F,2,United Kingdom,no,married,60
93,18108,20725,5,F,1,Spain,no,married,33
94,10567,21559,12,F,1,Italy,no,married,42
95,27174,22352,7,M,2,Belgium,no,married,45
96,6499,21212,6,F,1,France,no,married,42
97,14466,21975,6,F,1,Spain,no,divorced,53
98,11309,21977,2,F,1,France,no,single,37
99,37039,84991,12,M,1,Germany,no,married,44
100,14359,84519A,5,F,1,France,no,married,54
101,18568,85183B,5,F,1,United Kingdom,no,married,49
102,2110,85071B,12,F,1,Germany,no,married,54
103,38748,21931,4,M,2,Portugal,no,divorced,52
104,4403,21929,9,F,1,France,no,divorced,52
105,22211,22961,4,F,2,United Kingdom,no,single,43
106,38063,22139,11,F,1,Portugal,no,married,34
107,8746,84854,7,F,1,United Kingdom,no,married,35
108,21108,22411,7,F,2,Germany,no,married,42
109,32674,82567,2,M,2,Spain,no,married,43
110,24411,21672,12,F,2,Germany,no,divorced,60
111,4795,22774,11,F,2,United Kingdom,no,married,58
112,673,22771,4,M,1,Germany,no,divorced,35
113,39615,71270,2,F,1,Germany,no,married,55
114,4259,22262,12,F,2,United Kingdom,no,married,37
115,34826,22637,7,F,1,France,no,married,36
116,23230,21934,11,M,1,United Kingdom,no,divorced,52
117,10587,21169,7,F,1,United Kingdom,no,divorced,57
118,37134,21166,1,F,2,Belgium,no,married,56
119,39197,21175,5,F,1,United Kingdom,no,divorced,48
120,30326,37444A,9,F,1,Italy,no,married,40
121,3419,37444C,12,F,2,United Kingdom,no,divorced,49
122,28239,22086,7,F,2,Netherlands,no,married,41
123,17836,22083,7,F,2,Spain,no,married,45
124,5130,84971S,2,F,2,Portugal,no,married,32
125,7714,71270,7,F,1,Netherlands,no,married,42
126,25912,47580,5,F,1,United Kingdom,no,married,50
127,24970,22261,7,M,1,Netherlands,no,divorced,31
128,20312,84832,11,F,1,Germany,no,married,56
129,6586,22644,1,M,2,United Kingdom,yes,married,41
130,2807,21533,2,F,2,Spain,no,married,37
131,8018,21557,12,M,1,Netherlands,no,married,41
132,12420,15056BL,1,M,1,Netherlands,no,married,35
133,28205,15056N,12,M,2,Netherlands,no,married,37
134,14392,22646,12,F,2,Spain,no,married,52
135,12747,22176,3,M,2,Germany,no,divorced,39
136,28105,22438,8,F,1,Netherlands,no,married,39
137,29545,21731,10,F,1,Germany,no,married,56
138,5535,22778,11,M,1,France,no,married,34
139,28584,22719,1,F,1,Italy,yes,married,45
140,8425,21523,9,F,1,Germany,no,single,43
141,23353,D,11,F,2,Belgium,no,married,56
142,37672,10002,10,F,1,Italy,no,married,39
143,2415,21912,9,F,1,United Kingdom,no,married,53
144,24229,21832,11,F,2,France,no,divorced,38
145,36167,22411,12,F,1,France,no,married,42
146,24572,22379,11,M,1,France,no,married,42
147,21943,22381,2,M,2,United Kingdom,no,single,35
148,34419,22798,4,F,2,United Kingdom,no,married,40
149,15092,22726,11,F,1,Germany,no,married,51
150,6615,22926,2,F,1,United Kingdom,no,married,60
151,36444,22839,3,M,1,Germany,no,married,56
152,27907,22838,3,F,1,Italy,no,divorced,39
153,36469,22783,5,F,2,Italy,no,married,56
154,1295,35004C,12,F,1,Spain,no,married,40
155,26367,82484,7,M,2,United Kingdom,no,married,36
156,16379,84755,10,F,2,Germany,no,married,51
157,1636,22464,10,F,1,Netherlands,no,married,51
158,40142,21324,11,F,1,Italy,no,single,43
159,19607,22457,12,F,2,United Kingdom,no,married,59
160,29713,22469,8,F,1,Netherlands,no,single,24
161,20849,22470,8,F,2,Spain,no,single,37
162,40326,22224,4,M,1,United Kingdom,no,married,40
163,35420,21340,6,M,2,Spain,no,married,42
164,21650,22189,5,F,1,Netherlands,no,divorced,39
165,27137,22427,10,M,2,Italy,no,married,37
166,7831,22428,8,F,1,Belgium,no,married,38
